movement_onset	onset	response_time	planning	condition	experiment_exp_id	key_press	problem_id	trial_type	trigger_times	worker_id	junk	duration
235.714	235.278	-0.2712113402061856	0	PA_with_intermediate	ward_and_allport	82	22.0	poldrack-single-stim	293675	s633	False	
237.634	235.722	1.2047886597938144	0	PA_with_intermediate	ward_and_allport	89	22.0	poldrack-single-stim	294352,295032,295712	s633	False	
238.023	237.636	-0.3202113402061856	0	PA_with_intermediate	ward_and_allport	71	22.0	poldrack-single-stim	296392	s633	False	
238.414	238.032	-0.3252113402061856	0	PA_with_intermediate	ward_and_allport	82	22.0	poldrack-single-stim		s633	False	
238.834	238.416	-0.2892113402061856	0	PA_with_intermediate	ward_and_allport	71	22.0	poldrack-single-stim	297072	s633	False	
238.846	238.847	-0.7082113402061856	0	PA_with_intermediate	ward_and_allport	-1	22.0	poldrack-single-stim	297752,298432,299112	s633	True	
242.763	240.853	1.2027886597938144	1	PA_without_intermediate	ward_and_allport	89	23.0	poldrack-single-stim	299793,300472,301153	s633	False	2.985
243.021	242.765	-0.4512113402061856	0	PA_without_intermediate	ward_and_allport	71	23.0	poldrack-single-stim		s633	False	
243.72	243.03	-0.01721134020618558	0	PA_without_intermediate	ward_and_allport	89	23.0	poldrack-single-stim	301832	s633	False	
244.028	243.721	-0.4002113402061856	0	PA_without_intermediate	ward_and_allport	71	23.0	poldrack-single-stim		s633	False	
244.863	244.035	0.12078865979381442	0	PA_without_intermediate	ward_and_allport	89	23.0	poldrack-single-stim	302513,303193	s633	False	
245.143	244.864	-0.42821134020618556	0	PA_without_intermediate	ward_and_allport	82	23.0	poldrack-single-stim		s633	False	
245.149	245.15	-0.7082113402061856	0	PA_without_intermediate	ward_and_allport	-1	23.0	poldrack-single-stim	303872,304553,305233,305912	s633	True	
249.776	247.567	1.5017886597938146	1	PA_with_intermediate	ward_and_allport	82	24.0	poldrack-single-stim	306593,307274,307953	s633	False	2.985
250.148	249.778	-0.3372113402061856	0	PA_with_intermediate	ward_and_allport	89	24.0	poldrack-single-stim		s633	False	
