onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
343.763	0.56	-0.15374015748031492	150.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	470040,470721,471400	s629	False
346.019	0.56	0.0962598425196851	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	472080,472760,473438,474119	s629	False
348.375	0.56	0.3132598425196851	150.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	474799,475479,476159,476838	s629	False
351.03	0.56	-0.6257401574803149	150.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	477519,478199,478879,479559	s629	False
353.786	0.56	0.15525984251968508	200.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	480239,480920,481599	s629	False
356.042	0.56	-0.6257401574803149	200.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	482279,482960,483640,484319	s629	False
358.797	0.56	0.2312598425196851	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	485000,485679,486360	s629	False
361.053	0.56	-0.0757401574803149	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	487040,487720,488400,489080	s629	False
363.408	0.56	0.1512598425196851	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	489760,490439,491120	s629	False
365.763	0.56	0.0632598425196851	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	491800,492480,493160,493839	s629	False
368.319	0.56	0.05825984251968509	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	494520,495199,495880	s629	False
370.575	0.56	0.1302598425196851	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	496560,497240,497920,498600	s629	False
372.831	0.56	0.052259842519685094	250.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	499280,499960,500639	s629	False
375.085	0.56	0.0802598425196851	250.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	501320,501999,502679,503359	s629	False
377.441	0.56	-0.6257401574803149	250.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	504039,504720,505399	s629	False
380.096	0.56	0.15825984251968508	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	506079,506759,507439,508120	s629	False
382.452	0.56	-0.018740157480314906	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	508800,509479,510160	s629	False
384.708	0.56	0.3032598425196851	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	510840,511522,512200,512879	s629	False
387.063	0.56	-0.6257401574803149	300.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	513560,514240,514920	s629	False
388.419	0.56	-0.6257401574803149		0.0	motor_selective_stop_signal	-1.0	True		True		515599,516280,516960,517640,518320,519000,519680,520360,521040,521721,522400	s629	True
399.937	0.56	0.11525984251968509	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	525800,526479,527159,527839,528519	s629	False
402.792	0.56	0.2682598425196851	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	529199,529879,530559	s629	False
405.247	0.56	0.037259842519685095	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	531239,531919,532600,533279	s629	False
407.603	0.56	0.020259842519685094	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	533960,534640,535320,536000	s629	False
410.259	0.56	0.1782598425196851	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	536680,537360,538040	s629	False
412.515	0.56	0.30025984251968507	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	538720,539400,540080	s629	False
414.771	0.56	0.05825984251968509	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	540760,541439,542121,542800	s629	False
417.027	0.56	-0.029740157480314906	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	543480,544160,544839	s629	False
419.482	0.56	-0.002740157480314906	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	545520,546200,546880,547560	s629	False
421.838	0.56	-0.017740157480314905	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	548240,548919,549600	s629	False
424.094	0.56	-0.6257401574803149	300.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	550280,550960,551641,552321	s629	False
426.448	0.56	-0.12574015748031492	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	552999,553679,554359	s629	False
428.904	0.56	0.1102598425196851	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	555040,555719,556400,557079	s629	False
431.26	0.56	0.028259842519685094	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	557760,558440,559120	s629	False
433.516	0.56	-0.0537401574803149	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	559800,560480,561160	s629	False
435.772	0.56	-0.03674015748031491	350.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	561840,562521,563200,563880	s629	False
438.127	0.56	-0.010740157480314906	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	564559,565240,565920	s629	False
440.483	0.56	-0.08274015748031491	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	566600,567280,567960,568640	s629	False
442.839	0.56	-0.06974015748031491	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	569320,570000,570680,571360	s629	False
445.795	0.56	0.0822598425196851	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	572040,572720,573400	s629	False
448.05	0.56	0.4972598425196851	300.0	0.0	motor_selective_stop_signal	89.0	True	89.0	False	noncrit_nosignal	574080,574760,575440,576120	s629	True
