,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
293,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",712,500.0,,343264,probe,35.0,poldrack-single-stim,s546
296,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",650,500.0,,347544,probe,36.0,poldrack-single-stim,s546
299,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",496,500.0,,351686,probe,37.0,poldrack-single-stim,s546
302,1772.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",236,500.0,,355964,probe,38.0,poldrack-single-stim,s546
305,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",445,500.0,,359971,probe,39.0,poldrack-single-stim,s546
306,7500.0,,,,,dot_pattern_expectancy,-1.0,none,-1,7500.0,,367475,rest_block,,poldrack-single-stim,s546
310,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",304,500.0,,374622,probe,0.0,poldrack-single-stim,s546
313,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",747,500.0,,378628,probe,1.0,poldrack-single-stim,s546
316,2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",633,500.0,,383177,probe,2.0,poldrack-single-stim,s546
319,1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",281,500.0,,387454,probe,3.0,poldrack-single-stim,s546
322,1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",589,500.0,,391596,probe,4.0,poldrack-single-stim,s546
