,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
173,100.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",694.0,#1F45FC,1000.0,8.0,magnitude,stay,,67290,stim,22.0,poldrack-single-stim,s373
176,900.0,2680.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",446.0,#1F45FC,1000.0,2.0,magnitude,stay,,70874,stim,23.0,poldrack-single-stim,s373
179,100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",827.0,#1F45FC,1000.0,2.0,color,switch,,72981,stim,24.0,poldrack-single-stim,s373
182,900.0,2272.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",485.0,orange,1000.0,9.0,magnitude,switch,,76161,stim,25.0,poldrack-single-stim,s373
185,900.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",508.0,#1F45FC,1000.0,6.0,color,switch,,79072,stim,26.0,poldrack-single-stim,s373
188,100.0,2272.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",782.0,orange,1000.0,6.0,color,stay,,81451,stim,27.0,poldrack-single-stim,s373
191,100.0,2952.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",993.0,orange,1000.0,4.0,color,stay,,84507,stim,28.0,poldrack-single-stim,s373
194,900.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",539.0,#1F45FC,1000.0,6.0,magnitude,switch,,87414,stim,29.0,poldrack-single-stim,s373
197,100.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",854.0,orange,1000.0,8.0,magnitude,stay,,89520,stim,30.0,poldrack-single-stim,s373
200,100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",1114.0,#1F45FC,1000.0,9.0,color,switch,,91628,stim,31.0,poldrack-single-stim,s373
