,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
98,PA_with_intermediate,,"0,0,0,1,2,0,3,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",82,3.0,1.0,"89,71,82",4.0,,427,"0,0,0,1,2,3,0,0,0",,107922,to_board,poldrack-single-stim,499
99,PA_with_intermediate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",71,3.0,2.0,"71,82",4.0,,784,"0,0,0,1,2,3,0,0,0",,108714,to_hand,poldrack-single-stim,499
100,PA_with_intermediate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",89,3.0,2.0,"89,71,82",4.0,,481,"0,0,0,1,2,3,0,0,0",,109196,to_board,poldrack-single-stim,499
101,PA_with_intermediate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",82,3.0,3.0,"89,71,82",4.0,,511,"0,0,0,1,2,3,0,0,0",,109714,to_hand,poldrack-single-stim,499
102,PA_with_intermediate,,"2,0,0,1,3,0,0,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",71,3.0,3.0,"89,71,82",4.0,,380,"0,0,0,1,2,3,0,0,0",,110096,to_board,poldrack-single-stim,499
103,PA_with_intermediate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",71,3.0,4.0,"89,71",4.0,,1525,"0,0,0,1,2,3,0,0,0",,111631,to_hand,poldrack-single-stim,499
104,PA_with_intermediate,,"2,3,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,0,1,0,0,0,0,0",89,3.0,4.0,"89,71,82",4.0,,476,"0,0,0,1,2,3,0,0,0",,112109,to_board,poldrack-single-stim,499
105,,True,,test,ward_and_allport,,-1,3.0,4.0,none,,11526.0,-1,,,114661,feedback,poldrack-single-stim,499
106,PA_without_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",82,3.0,1.0,82,5.0,,3825,"0,0,0,0,0,0,1,2,3",,118493,to_hand,poldrack-single-stim,499
107,PA_without_intermediate,,"0,0,0,3,0,0,1,2,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",71,3.0,1.0,"89,71,82",5.0,,396,"0,0,0,0,0,0,1,2,3",,118892,to_board,poldrack-single-stim,499
108,PA_without_intermediate,,"0,0,0,3,0,0,1,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",82,3.0,2.0,"71,82",5.0,,1119,"0,0,0,0,0,0,1,2,3",,120019,to_hand,poldrack-single-stim,499
109,PA_without_intermediate,,"0,0,0,3,2,0,1,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",71,3.0,2.0,"89,71,82",5.0,,369,"0,0,0,0,0,0,1,2,3",,120391,to_board,poldrack-single-stim,499
110,PA_without_intermediate,,"0,0,0,3,2,0,0,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",82,3.0,3.0,"71,82",5.0,,873,"0,0,0,0,0,0,1,2,3",,121271,to_hand,poldrack-single-stim,499
111,PA_without_intermediate,,"1,0,0,3,2,0,0,0,0",practice,ward_and_allport,"1,0,0,3,2,0,0,0,0",89,3.0,3.0,"89,71,82",5.0,,274,"0,0,0,0,0,0,1,2,3",,121547,to_board,poldrack-single-stim,499
112,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,9170.0,-1,,,123831,feedback,poldrack-single-stim,499
113,PA_with_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,1.0,89,6.0,,3720,"1,2,3,0,0,0,0,0,0",,127559,to_hand,poldrack-single-stim,499
114,PA_with_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,1.0,"89,71,82",6.0,,378,"1,2,3,0,0,0,0,0,0",,127940,to_board,poldrack-single-stim,499
115,PA_with_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,2.0,"89,71",6.0,,996,"1,2,3,0,0,0,0,0,0",,128943,to_hand,poldrack-single-stim,499
116,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,2.0,"89,71,82",6.0,,332,"1,2,3,0,0,0,0,0,0",,129277,to_board,poldrack-single-stim,499
117,PA_with_intermediate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,3.0,"89,71,82",6.0,,643,"1,2,3,0,0,0,0,0,0",,129929,to_hand,poldrack-single-stim,499
118,PA_with_intermediate,,"1,0,0,0,0,0,2,3,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,3.0,"89,71,82",6.0,,340,"1,2,3,0,0,0,0,0,0",,130271,to_board,poldrack-single-stim,499
119,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,10489.0,-1,,,134320,feedback,poldrack-single-stim,499
120,PA_with_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,1.0,89,7.0,,3313,"1,2,3,0,0,0,0,0,0",,137643,to_hand,poldrack-single-stim,499
