CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2680.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1096.0,#1F45FC,1000.0,6.0,magnitude,switch,,106395,0.0,stim,37.0,poldrack-single-stim,s499
100.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",1023.0,#1F45FC,1000.0,4.0,color,switch,,108774,0.0,stim,38.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",787.0,orange,1000.0,6.0,color,stay,,111680,0.0,stim,39.0,poldrack-single-stim,s499
100.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",760.0,#1F45FC,1000.0,8.0,magnitude,switch,,113787,0.0,stim,40.0,poldrack-single-stim,s499
100.0,2136.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",728.0,orange,1000.0,4.0,magnitude,stay,,116028,0.0,stim,41.0,poldrack-single-stim,s499
100.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",701.0,#1F45FC,1000.0,9.0,magnitude,stay,,118134,0.0,stim,42.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",509.0,#1F45FC,1000.0,3.0,magnitude,stay,,121040,0.0,stim,43.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",551.0,orange,1000.0,3.0,magnitude,stay,,123945,0.0,stim,44.0,poldrack-single-stim,s499
900.0,2272.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",602.0,#1F45FC,1000.0,6.0,color,switch,,127124,0.0,stim,45.0,poldrack-single-stim,s499
900.0,2408.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",845.0,#1F45FC,1000.0,7.0,magnitude,switch,,130438,0.0,stim,46.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",634.0,orange,1000.0,1.0,magnitude,stay,,133345,0.0,stim,47.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",812.0,#1F45FC,1000.0,2.0,magnitude,stay,,135451,0.0,stim,48.0,poldrack-single-stim,s499
100.0,2000.0,False,89.0,Color,,test,twobytwo,,71.0,"89,71",1046.0,#1F45FC,1000.0,1.0,color,switch,,137557,0.0,stim,49.0,poldrack-single-stim,s499
100.0,2272.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",816.0,#1F45FC,1000.0,2.0,magnitude,switch,,139940,0.0,stim,50.0,poldrack-single-stim,s499
900.0,2136.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",719.0,orange,1000.0,7.0,magnitude,stay,,142983,0.0,stim,51.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",597.0,orange,1000.0,7.0,color,switch,,145890,0.0,stim,52.0,poldrack-single-stim,s499
100.0,2544.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",1164.0,orange,1000.0,1.0,color,stay,,148540,0.0,stim,53.0,poldrack-single-stim,s499
100.0,2272.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",665.0,orange,1000.0,1.0,magnitude,switch,,150919,0.0,stim,54.0,poldrack-single-stim,s499
