,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
103,228.0,PA_with_intermediate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"0,0,0,1,0,0,2,3,0",89,3.0,1.0,"89,71,82",7.0,,228,"0,0,0,1,2,3,0,0,0",228.0,,108053,to_board,poldrack-single-stim,s572
104,511.0,PA_with_intermediate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"0,0,0,1,0,0,2,3,0",71,3.0,2.0,"89,71",7.0,,511,"0,0,0,1,2,3,0,0,0",511.0,,108567,to_hand,poldrack-single-stim,s572
105,243.0,PA_with_intermediate,,"3,0,0,1,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,0,0,2,3,0",82,3.0,2.0,"89,71,82",7.0,,243,"0,0,0,1,2,3,0,0,0",243.0,,108812,to_board,poldrack-single-stim,s572
106,607.0,PA_with_intermediate,,"0,0,0,1,0,0,2,0,0",practice,ward_and_allport,"0,0,0,1,0,0,2,3,0",89,3.0,3.0,"89,71,82",7.0,,607,"0,0,0,1,2,3,0,0,0",607.0,,109421,to_hand,poldrack-single-stim,s572
107,228.0,PA_with_intermediate,,"0,0,0,1,0,0,2,3,0",practice,ward_and_allport,"0,0,0,1,0,0,2,3,0",82,3.0,3.0,"89,71,82",7.0,,228,"0,0,0,1,2,3,0,0,0",228.0,,109650,to_board,poldrack-single-stim,s572
108,2272.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,6905.0,-1,,1000.0,,111931,feedback,poldrack-single-stim,s572
109,4089.0,PA_with_intermediate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,1.0,89,8.0,,4089,"1,2,3,0,0,0,0,0,0",4089.0,,116023,to_hand,poldrack-single-stim,s572
110,249.0,PA_with_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,1.0,"89,71,82",8.0,,249,"1,2,3,0,0,0,0,0,0",249.0,,116273,to_board,poldrack-single-stim,s572
111,755.0,PA_with_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",89,3.0,2.0,"89,71",8.0,,755,"1,2,3,0,0,0,0,0,0",755.0,,117031,to_hand,poldrack-single-stim,s572
112,219.0,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,2.0,"89,71,82",8.0,,219,"1,2,3,0,0,0,0,0,0",219.0,,117251,to_board,poldrack-single-stim,s572
